Film_ID,Film_Title,Title_ID,Title_Name,Theatrical_Release_Date,Film_Runtime,Language,Market_Language,Release_Pattern,Performance_Type,Is_IMAX,Is_DBOX_Capable,Release_Status,Media_Class_Description,Is_4Dx,Genre_Hierarchy_1
32801,Pompeii: Sin City (anglais avec s.t.f.),35146,Pompeii: Sin City,1/8/2021,90,English,French,Ltd,Documentary,0,0,B,None,0,Documentary
32800,Pompeii: Sin City,35146,Pompeii: Sin City,1/8/2021,90,English,English,Ltd,Documentary,0,0,B,None,0,Documentary
32799,Botticelli: Florence And The Medici (anglais avec s.t.f.),35145,Botticelli: Florence And The Medici,12/11/2020,88,English,French,Ltd,Documentary,0,0,B,None,0,Documentary
32798,Botticelli: Florence And The Medici,35145,Botticelli: Florence And The Medici,12/11/2020,88,English,English,Ltd,Documentary,0,0,B,None,0,Documentary
32797,Maverick Modigliani (anglais avec s.t.f.),35126,Maverick Modigliani (version franaise),11/6/2020,90,English,French,Ltd,Documentary,0,0,B,None,0,Documentary
32796,Secret Impressionists (anglais avec s.t.f.),35123,Secret Impressionists (version franaise),10/2/2020,83,English,French,Ltd,Documentary,0,0,B,Adult,0,Documentary
32795,Hotel Limbo,35144,Hotel Limbo,12/31/9999,90,English,English,Ltd,Film Presentation,0,0,B,None,0,Comedy
32794,Yellow Rose,35143,Yellow Rose,10/9/2020,999,English,English,Wide,Film Presentation,0,0,B,Adult,0,Drama
32793,Leur Nid,35110,The Nest,9/18/2020,107,French,French,Ltd,Film Presentation,0,0,B,Adult,0,Drama
32792,Akira (Japanese w/e.s.t.),35152,Akira - Special Presentation in 4K (Japanese w/e.s.t.),9/18/2020,124,Japanese,English,Ltd,Alt Prog Film Event,0,0,B,Adult,0,Adaptation
32791,100% WOLF,35141,100% Wolf,10/9/2020,96,English,English,Wide,Film Presentation,0,0,B,Family,0,Animated
32790,CHICAGO 10 - THE IMPACT SERIES,35140,CHICAGO 10 - THE IMPACT SERIES,12/4/2020,110,English,English,Ltd,Documentary,0,0,B,None,0,Documentary
32789,SING ME A SONG - THE IMPACT SERIES (multilingual w/est),35139,SING ME A SONG - THE IMPACT SERIES (multilingual w/est),11/27/2020,100,German,English,Ltd,Documentary,0,0,B,None,0,Documentary
32788,THE GREAT INVISIBLE - THE IMPACT SERIES,35138,THE GREAT INVISIBLE - THE IMPACT SERIES,11/13/2020,92,English,English,Ltd,Documentary,0,0,B,None,0,Documentary
