Location_ID,Location_Name,Location_Short_Name,Location_Interactive_Name,Address1,City,Province_CD,Postal_Code,Country_CD,Is_VIP,Is_Outtakes,Is_Licensed_Bar,Is_Licensed_Lounge
3141,CPX Grande Prairie,GrndPrairie,Cineplex Odeon Grande Prairie Cinemas,10330 109th Street,Grande Prairie,AB,T8V 7X3,CA,0,0,1,0
3142,CPX Sunridge Spectrum,Sundridge,Cineplex Odeon Sunridge Spectrum Cinemas,"#400, 2555-32nd Street NE",Calgary,AB,T1Y 7J6,CA,0,1,1,0
3143,CPX North Edmonton & VIP,North Edm,Cineplex Cinemas North Edmonton and VIP,14231-137th Avenue,Edmonton,AB,T5L 5E8,CA,1,1,1,0
3144,CPX South Edmonton,South Edm,Cineplex Odeon South Edmonton Cinemas,1525-99th Street NW,Edmonton,AB,T6N 1K5,CA,0,1,0,0
3146,CPX Sherwood Park,CPX Sherwood,Cineplex Cinemas Sherwood Park,2020 Sherwood Drive,Sherwood Park,AB,T8A 3H9,CA,0,1,1,0
3147,Movies 12 Edmonton,Movies 12 Edmonton,Cinema City Movies 12,5074 130 Avenue,Edmonton,AB,T5A 5A9,CA,0,0,1,0
3148,Cinema City 12,,Cinema City 12,3633 99th St,Edmonton,AB,,CA,0,0,0,0
3149,CPX Windermere & VIP ,Windermere,Cineplex Odeon Windermere Cinemas and VIP,6151 Currents Drive NW,Edmonton,AB,T6W 0L9,CA,1,1,0,1
3150,SC CrossIron Mills & Xscape,SC CrossIron,SilverCity CrossIron Mills Cinemas and XSCAPE Entertainment Centre,261055 CrossIron Boulevard,Rocky View,AB,T4A 0G3,CA,0,1,1,0
3151,CPX Manning Town Centre,CPX Manning,Cineplex Cinemas Manning Town Centre,15531 37 ST NW,Edmonton,AB,T5Y 0S5 ,CA,0,1,1,0
3152,CPX East Hills,CPX East Hills,Cineplex Cinemas East Hills,205 East Hills Boulevard SE,Calgary,AB,T2A 7A6,CA,0,0,1,0
