CINEPLEX_Item_ID,CINEPLEX_Item_Description,CINEPLEX_Item_Status,EIS_Group_Description,EIS_Sub_Group_Description,Item_Report_Code2,Item_Report_Code3,Item_Class_Description1,Item_Class_Description2,Item_Class_Description3,Is_Item_Package,Is_Box_Office_Item,US_Is_Butter,US_Is_Kiddietray,US_Is_Voucher,US_Is_LrgPopcorn,US_Is_Coffee,US_Is_Candy,US_Is_Alcohol,US_Is_MenuFood
99468,VHO MERCH - CINEPLEX COKE ORNAMENT,I,0,0,0,0,VHO-MERCH,0,0,0,0,0,0,0,0,0,0,0,0
99486,VHO YY - YOBOWL (KG),A,Candy,Regular Candy,0,0,VHO-YOYO,0,0,0,0,0,0,0,0,0,1,0,0
99530,VHO MERCH - PROMO CUP KIDDIE SURCHARGE,A,0,0,0,0,VHO-MERCH,0,0,0,0,0,0,0,0,0,0,0,0
99532,VHO DRINK - CUP KIDDIE SLUSH,A,Popcorn,Popcorn,0,0,VHO-DRINK,0,0,0,0,0,0,0,0,0,0,0,0
99533,VHO DRINK - BTL KIDDIE DASANI,A,Popcorn,Popcorn,0 Cals,0,VHO-DRINK,0,0,0,0,0,0,0,0,0,0,0,0
99535,VHO MISC - (1) SCENE 200,A,0,0,0,0,MISC,0,0,0,0,0,0,0,0,0,0,0,0
99539,VHO XSCAPE - (I) PLAY CARD $20,A,0,0,0,0,VHO-XSCAPE,0,0,0,1,0,0,0,0,0,0,0,0
99540,VHO XSCAPE - (I) PLAY CARD $25,A,0,0,0,0,VHO-XSCAPE,0,0,0,1,0,0,0,0,0,0,0,0
99549,VHO MISC - (1) SCENE 100,A,0,0,0,0,MISC,0,0,0,0,0,0,0,0,0,0,0,0
99569,VHO LQ - APP - CREOLE SHRIMP TACOS (2),A,0,0,520 Cals,0,VHO-LICENSED FOOD,0,0,0,0,0,0,0,0,0,0,0,1
99570,VHO LQ - APP - CREOLE SHRIMP TACOS (3),A,0,0,780 Cals,0,VHO-LICENSED FOOD,0,0,0,0,0,0,0,0,0,0,0,1
99573,VHO LQ - APP - MINI PEROGIES,A,COS - VIP / Outtakes,0,(VG) 750 Cals,0,VHO-LICENSED FOOD,0,0,0,0,0,0,0,0,0,0,0,1
99587,VHO OT - MAC AND CHEESE WEDGES,A,0,0,0,Y,VHO-OUTTAKES,0,0,0,0,0,0,0,0,0,0,0,1
99594,VHO LQ - APP - POPCORN SHRIMP,A,0,0,750 Cals,0,VHO-LICENSED FOOD,0,0,0,0,0,0,0,0,0,0,0,1
99602,VHO CNDY - SUP M&M PEANUT,A,Beverage,Other Beverage,1000 Cals,0,VHO-CANDY,0,0,0,0,0,0,0,0,0,1,0,0
99603,VHO CNDY - SUP M&M CHOCOLATE,A,Beverage,Other Beverage,1000 Cals,0,VHO-CANDY,0,0,0,0,0,0,0,0,0,1,0,0
99607,VHO CNDY - SUP TWIX,A,Beverage,Other Beverage,1120 Cals,0,VHO-CANDY,0,0,0,0,0,0,0,0,0,1,0,0
99608,VHO CNDY - SUP MALTESERS,A,Beverage,Other Beverage,850 Cals,0,VHO-CANDY,0,0,0,0,0,0,0,0,0,1,0,0
99623,VHO CORN - SHAKE IT DILL PICKLE,A,0,0,Add 70 Cals,0,VHO-POPCORN,0,0,0,0,0,0,0,0,0,0,0,0
99624,VHO CORN - SHAKE IT WHITE CHEDDAR,A,0,0,Add 70 Cals,Y,VHO-POPCORN,0,0,0,0,0,0,0,0,0,0,0,0
99625,VHO CORN - SHAKE IT KETCHUP,A,0,0,Add 70 Cals,0,VHO-POPCORN,0,0,0,0,0,0,0,0,0,0,0,0
99626,VHO CORN - SHAKE IT SALT N VINEGAR,A,0,0,Add 70 Cals,0,VHO-POPCORN,0,0,0,0,0,0,0,0,0,0,0,0
99639,VHO CNDY - SUP SKITTLES,A,Beverage,Other Beverage,0,0,VHO-CANDY,0,0,0,0,0,0,0,0,0,1,0,0
99649,VHO LQ - APP -  POUTINE,A,Beverage,Other Beverage,(VG) 750 Cals,0,VHO-LICENSED FOOD,0,0,0,0,0,0,0,0,0,0,0,1
99652,VHO LQ - APP - CRISPY CHICKEN TACOS (2),A,0,0,560 Cals,0,VHO-LICENSED FOOD,0,0,0,0,0,0,0,0,0,0,0,1
99653,VHO LQ - APP - CRISPY CHICKEN TACOS (3),A,0,0,840 Cals,0,VHO-LICENSED FOOD,0,0,0,0,0,0,0,0,0,0,0,1
99661,VHO LQ - MAIN - SANTE FE GRAIN BOWL,A,0,0,(VG) (GF) 570 Cals,0,VHO-LICENSED FOOD,0,0,0,0,0,0,0,0,0,0,0,1
99693,VHO MERCH - MOVIE METAL TIN (No Corn),A,0,0,0,0,VHO-MERCH,0,0,0,0,0,0,0,0,0,0,0,0
